Timestamp,Tweet_Content,Tweet_Time,User
2024-02-28T233604.268331_639,This is a negative synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268331,user_614
2024-02-28T233604.268351_801,This is a neutral synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268351,user_924
2024-02-28T233604.268358_162,This is a neutral synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268358,user_209
2024-02-28T233604.268364_847,This is a neutral synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268364,user_883
2024-02-28T233604.268370_382,This is a positive synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268370,user_856
2024-02-28T233604.268375_996,This is a neutral synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268375,user_396
2024-02-28T233604.268380_93,This is a negative synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268380,user_961
2024-02-28T233604.268385_512,This is a negative synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268385,user_997
2024-02-28T233604.268390_967,This is a neutral synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268390,user_789
2024-02-28T233604.268395_250,This is a positive synthetic tweet about #googlegemini.,2024-02-28T23:36:04.268395,user_274
